lot_id,wafer_id,product_type,technology_node,process_date,etch_tool,litho_tool,deposition_tool,implant_tool,etch_rate,pressure,temperature,exposure_time,focus_offset,dose,deposition_rate,thickness_uniformity,implant_energy,tilt_angle,critical_dimension,oxide_thickness,resistivity,defect_count,defect_density,vth,leakage_current,resistance,yield
LOT_0001,W001,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.559737132,149.8086785,66.59537708,1.576151493,0.019829233,1.01E+15,2.147921282,1.673486946,49.53052561,6.768291154,21.30140537,55.60490568,1.926015927,664,0.946658089,0.557038307,0.000352817,90.02249173,0.678783443
LOT_0001,W002,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.407015704,147.3526252,66.49544093,1.627974402,0.022971165,1.00E+15,1.938456434,1.39994923,50.94743982,6.68222013,20.46767171,54.59561153,2.339905359,612,0.811460198,0.585546344,0.000122226,103.6568207,0.779965566
LOT_0001,W003,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.413745116,151.4843062,66.77693316,1.508568414,0.020421759,1.01E+15,1.842147801,1.376031158,49.53936123,7.171809145,19.35543977,55.81020992,2.384475316,584,0.798226458,0.62492702,0.000356953,95.0537705,0.778491865
LOT_0001,W004,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.49526301,142.9592336,67.49929395,1.491113394,0.018948083,9.90E+14,1.900179206,1.686959084,50.29656138,6.962098127,23.4594453,56.98898866,2.948630276,673,0.952953584,0.646798874,0.000250159,105.1764767,0.405274555
LOT_0001,W005,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.526963765,149.0049632,65.48352155,1.400621554,0.019901641,9.95E+14,2.137789404,1.416345956,49.1915064,7.457701059,22.49312666,53.67559949,2.65398023,613,0.818123798,0.571640992,0.000197933,98.91706128,0.935349955
LOT_0001,W006,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.402918804,137.2241198,65.99103589,1.480224177,0.019554316,9.91E+14,1.973393909,1.562987766,47.97768507,7.701979369,21.97217379,50.81623845,2.17824045,630,0.891271041,0.559219533,0.000342725,93.3953805,0.595223785
LOT_0001,W007,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.517223058,144.6566098,67.58564563,1.537596652,0.02495516,1.02E+15,2.130279431,1.239629787,50.58685709,6.504731837,21.15055341,55.24912841,2.348957304,529,0.732292474,0.50720161,0.000203238,93.30261868,0.922864891
LOT_0001,W008,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.557887394,153.6027411,64.97812525,1.48058678,0.016572438,1.01E+15,2.04561218,1.728772122,50.52644816,8.269581358,21.51326356,54.48533321,2.067987566,676,0.97267228,0.671936226,0.00043254,101.5078962,0.390798749
LOT_0001,W009,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.543445798,146.9282429,69.03154902,1.523691646,0.015043483,9.92E+14,1.892531833,1.677416921,51.15859558,7.481688065,22.61917139,57.0551504,3.069037895,628,0.946230202,0.576339013,0.00020035,106.3324456,0.89193945
LOT_0001,W010,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.547292158,156.5469099,66.37592001,1.636721108,0.021468827,1.00E+15,1.986547034,1.327396875,50.97718,6.931364091,21.81380142,56.85085204,2.36426133,539,0.774432851,0.634433789,0.000134472,97.00321274,0.656925569
LOT_0001,W011,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.533854474,152.4265869,63.53228513,1.507686255,0.021291044,1.01E+15,2.025778736,1.632156905,51.08305124,6.311165316,20.59326244,56.28758817,2.654135785,687,0.926723974,0.624357406,0.001988875,105.0396045,0.647823655
LOT_0001,W012,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.610845251,151.6614808,65.65236184,1.442371731,0.013496158,9.82E+14,1.904407108,1.512072772,49.46533726,7.178652271,21.37820229,55.20049678,2.232063918,611,0.862784465,0.583319607,0.000335582,91.06652854,0.527344866
LOT_0001,W013,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.523645747,147.2419983,69.58788818,1.531695951,0.010874287,9.99E+14,1.923821354,1.690486667,49.20747926,7.252493639,23.29863279,51.99925898,2.399649629,642,0.950680477,0.716327088,0.000372174,91.19170601,0.735874552
LOT_0001,W014,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.593428956,152.3864813,68.60270197,1.433658412,0.030218579,1.00E+15,1.862008027,1.472521608,51.87200568,6.533704172,20.05758629,54.73720374,1.901511529,610,0.851370093,0.52070323,0.000233702,91.5553933,0.81345544
LOT_0001,W015,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.6130531,150.5511653,63.3369827,1.523105174,0.021995298,1.01E+15,1.996980208,1.442937281,50.11351735,7.793008408,20.14327675,60.33258344,1.91437366,638,0.83246629,0.59872899,0.000175755,95.76941707,0.940096967
LOT_0001,W016,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.480559925,147.3888142,64.58902272,1.547600555,0.028262751,1.01E+15,2.048131413,1.394059829,50.87675465,6.644936021,19.31849258,51.94857474,2.299239182,618,0.81116129,0.632397921,0.000499827,94.26908981,0.724747461
LOT_0001,W017,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.624438305,150.6050192,66.66390594,1.484486662,0.022620832,1.02E+15,1.999699596,1.639031405,49.18177932,6.496991309,20.17871708,57.89527718,2.737498808,681,0.930826118,0.594257444,0.000186519,104.2016495,0.678959799
LOT_0001,W018,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.465827063,148.9545375,66.9076261,1.530692067,0.027789404,1.01E+15,2.010382273,1.631821841,50.87254159,6.761309135,21.00365884,58.40027842,1.88887722,697,0.929805622,0.681518765,0.000250625,95.56609726,0.554267169
LOT_0001,W019,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.545817485,146.3638453,66.33869303,1.576636946,0.020456199,1.00E+15,2.059014399,1.439755906,50.22409248,7.048838049,20.84048532,55.06127544,2.649399487,595,0.830106052,0.699074581,0.000162723,105.8862358,0.414776704
LOT_0001,W020,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.53466736,149.9453403,67.25261825,1.427357527,0.024920032,9.81E+14,1.854494204,1.726520081,48.18986868,7.181238229,22.85702127,57.42630955,2.722588905,683,0.975720056,0.69997515,0.000308014,102.0279379,0.668261676
LOT_0001,W021,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.382949238,157.2693619,65.07092031,1.561890816,0.013027862,1.01E+15,1.99052437,1.529396119,49.54993453,6.466189785,21.78643077,55.30073908,2.65433165,595,0.87121199,0.528279798,0.000491161,103.3552561,0.747963445
LOT_0001,W022,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.460121077,151.0743073,68.40252571,1.508498645,0.026766226,1.01E+15,2.006608813,1.315923351,49.73090556,7.438912584,21.34952451,54.1442284,1.980738069,541,0.771344788,0.662846664,0.00023469,83.52516575,0.758578652
LOT_0001,W023,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.650289244,143.5994927,61.89323512,1.497222615,0.022920327,1.01E+15,1.78325579,1.502175992,48.6955305,7.183299123,20.59018032,53.71533271,2.182235943,646,0.86254816,0.542870317,0.000327874,93.5287377,0.574862076
LOT_0001,W024,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.456570173,143.3295557,64.91693435,1.5028737,0.009585988,1.01E+15,1.994213408,1.622917798,51.20463507,6.689818139,20.89538174,56.448761,2.335816049,646,0.916251893,0.539176306,0.000207421,88.12189071,0.838292167
LOT_0001,W025,CPU,10nm,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,3.566124557,152.0562508,71.45776162,1.555978746,0.020360412,9.86E+14,1.829355368,1.560692727,49.24364925,6.676713558,20.37767799,59.21785409,2.764491927,652,0.89052657,0.596697852,0.000175199,112.3694667,0.693014576
LOT_0003,W001,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.536670625,140.2913257,64.80564523,1.465900788,0.0159919,1.01E+15,2.169768653,1.648168572,49.42882101,7.699677718,23.38695052,55.14907592,2.305918967,674,0.932080236,0.67183719,0.000402324,103.3814912,0.400106054
LOT_0003,W002,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.477181183,151.0726668,67.20029094,1.490102344,0.027586391,9.90E+14,2.208250702,1.446095677,50.2045494,6.735350881,22.92802982,57.82331109,3.389503106,607,0.836841034,0.608132956,0.000137728,113.1280735,0.680362913
LOT_0003,W003,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.499409877,142.1570796,66.09844625,1.532359797,0.018584068,1.01E+15,1.867423434,1.227125024,50.22445182,7.841963846,21.31167361,57.69670208,2.488447459,545,0.722854546,0.618018335,8.76E-05,108.6155274,0.762714799
LOT_0003,W004,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.630407308,152.5081275,63.92877944,1.516190006,0.01954255,9.78E+14,1.984957715,1.48865392,51.06240151,7.117599914,20.26664793,55.79805836,2.612284017,585,0.854098235,0.583734064,0.000435967,97.98147501,0.554256401
LOT_0003,W005,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.516246354,152.8852041,65.45364378,1.435850389,0.025981334,1.01E+15,1.83434181,1.434376968,51.50075979,6.825673933,21.47611344,54.19591237,3.123024395,614,0.830179151,0.649293222,0.000269149,104.5329894,0.509742136
LOT_0003,W006,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.504292012,150.7419256,63.9249131,1.493454201,0.015825226,1.00E+15,2.034839029,1.402247293,50.00929175,7.226267446,21.79963024,57.71466585,1.869724342,583,0.809036259,0.745787571,0.000143215,98.27591714,0.690977148
LOT_0003,W007,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.470098483,160.0701568,64.9186352,1.510871644,0.025350339,9.99E+14,2.005041891,1.5929922,52.40341559,7.100549523,23.57598159,57.76381483,2.856109092,620,0.90917127,0.70834852,0.000157698,106.4561757,0.774878453
LOT_0003,W008,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.459657932,155.5257129,64.79523991,1.517030001,0.028175908,1.01E+15,2.025555063,1.183042921,49.06627775,7.284975153,23.08219941,56.58849233,2.886926959,468,0.705609414,0.588312939,9.83E-05,96.44481217,0.94378098
LOT_0003,W009,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.440688612,139.7330494,64.0220765,1.43384551,0.029210076,9.97E+14,1.921184965,1.970487161,50.98176549,5.750297143,25.43641386,51.52606883,2.006380376,783,1.099848618,0.733562641,0.000543029,96.30060988,0.40019328
LOT_0003,W010,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.588273245,149.2365716,66.08416906,1.490555166,0.023765366,1.01E+15,1.894965182,1.345885477,49.01572762,6.691276694,19.13184526,55.99209666,2.954355269,538,0.784825422,0.608455154,0.000203981,104.2434816,0.706405326
LOT_0003,W011,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.52843004,143.8298725,64.09726471,1.515989097,0.013035031,1.01E+15,1.98803622,1.630497991,50.22391413,7.062612251,21.35589169,55.30574376,2.662989409,630,0.921766511,0.535605304,0.00068803,95.56344979,0.851548203
LOT_0003,W012,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.464567584,154.5145081,64.1791037,1.590978652,0.01685903,1.01E+15,1.911798236,1.964539126,48.76217906,6.632544793,21.46883854,56.13384458,2.867375331,774,1.090699078,0.704928121,0.000834352,95.81412091,0.508042233
LOT_0003,W013,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.455706035,158.695584,68.65540163,1.472320588,0.023844915,9.90E+14,1.952087226,1.479283928,49.41831909,6.675361227,20.1640896,55.08520867,2.269008031,555,0.851564422,0.598486634,0.000114513,99.3870858,0.764902229
LOT_0003,W014,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.586682317,144.6369837,62.8330638,1.534749895,0.030732714,9.90E+14,2.162683384,1.539286744,49.31911272,7.314706792,20.6275614,55.20319211,2.975039508,614,0.885009729,0.579437567,0.000204093,97.816271,0.553416834
LOT_0003,W015,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.617047816,151.2085846,69.93865908,1.519665892,0.021960246,1.01E+15,2.00335409,1.489506033,50.70810868,6.60700527,20.00315057,50.40948657,2.652397398,597,0.855733139,0.60503375,0.000874346,99.19836271,0.801131862
LOT_0003,W016,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.587079262,148.5757906,66.22794457,1.47807064,0.026831514,9.88E+14,2.049959411,1.418575388,49.76364526,6.823491972,20.44513613,58.28267129,2.515160745,607,0.822703451,0.595246568,0.000807026,100.2922417,0.904004222
LOT_0003,W017,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.52082821,143.9408188,63.16977267,1.484738765,0.017952439,1.00E+15,1.995664992,1.625938551,49.92950122,7.032237207,19.03680015,52.65166152,2.456773733,662,0.921945495,0.659100093,0.000527834,97.32635374,0.394165383
LOT_0003,W018,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.639258091,147.6817549,64.47813769,1.481638789,0.017466216,9.85E+14,1.927207151,1.523137343,49.27126832,7.456217625,22.74929048,60.72170517,2.186808148,650,0.870301779,0.604075058,0.00020085,93.8737248,0.555034859
LOT_0003,W019,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.563317018,154.2957758,64.1469792,1.370447885,0.018268778,1.01E+15,1.842108843,1.556671984,49.98469015,7.059790184,20.54039659,57.99142875,2.452441128,588,0.887470381,0.571986891,0.000172096,100.1553954,0.666120082
LOT_0003,W020,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.656936678,146.1258981,60.74725298,1.514244495,0.022035469,9.99E+14,1.877917763,1.200172703,49.59327692,7.460674801,24.11585201,58.03619783,2.5829631,510,0.711104086,0.652243891,0.000103759,102.6611569,0.462800775
LOT_0003,W021,CPU,10nm,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,3.68107098,151.1826767,64.5693569,1.509234015,0.014264369,1.01E+15,2.110041391,1.388621144,48.95308902,7.592852077,23.07842997,57.49011921,2.272961473,575,0.801442756,0.594794583,0.000198935,105.6156451,0.852457256
